origin_dist,gene_length,replichore
765896,194,0
766083,878,0
766729,737,1
767047,764,0
767925,698,0
768216,1412,1
768607,1610,0
770193,983,0
770546,2219,1
770846,257,1
771340,1655,0
771823,926,1
772850,827,1
773084,131,0
773317,1178,0
774118,1163,1
774544,605,0
775160,1400,0
775211,956,1
775910,659,1
776563,1091,0
777237,1187,1
777496,155,1
777654,1571,0
778223,734,1
778655,425,1
779318,86,0
779578,884,1
780064,944,0
780263,494,1
781326,1724,0
781343,1040,1
782387,926,1
782793,287,1
782975,185,1
783053,491,0
783547,95,0
783724,1004,0
784100,1118,1
785089,986,1
785149,182,0
785330,458,0
785790,941,0
786257,1178,1
786728,365,0
787109,1766,0
787957,1703,1
788451,494,1
788862,1487,0
788932,488,1
789266,341,1
789527,248,1
790346,1358,0
790516,866,1
791698,1082,0
792580,1859,1
792783,1316,0
792935,263,1
794099,1244,0
794371,1499,1
795117,692,1
795340,1067,0
796004,713,1
796461,1475,0
796794,758,1
797929,920,0
798189,1349,1
798851,830,0
799013,824,1
799585,560,1
799678,1262,0
800686,1070,1
801001,1151,0
801762,1079,1
802253,917,0
802969,1172,1
803217,248,1
803401,512,0
803975,2705,0
804163,914,1
805890,1730,1
806043,77,1
806740,389,0
807229,197,0
807394,1142,1
807436,743,0
808165,764,1
808179,620,0
809024,1043,0
809915,1499,1
810102,1202,0
810967,1052,1
811294,1385,0
812201,1223,1
812610,404,1
812689,440,0
813151,224,0
813332,893,0
814313,551,0
814803,2171,1
814861,854,0
815758,1373,0
816841,1682,1
817176,209,1
817672,764,0
818433,182,0
818597,2663,0
821275,1589,0
821895,4568,1
822844,809,1
823189,1424,0
823320,410,1
824297,959,1
824684,1757,0
826387,2060,1
826699,116,0
826796,2597,0
827880,1493,1
829103,1223,1
829568,362,0
829575,482,1
829968,794,0
830142,563,1
830510,371,1
830778,866,0
831112,605,1
831750,347,0
832086,977,1
832263,1550,0
833261,1178,1
833799,536,1
833854,251,0
834097,980,0
834836,707,1
835154,203,1
835294,2390,0
837369,2135,1
837890,536,0
838467,662,0
838675,1256,1
839238,926,0
839956,1079,1
840161,770,0
840296,275,1
841036,440,0
841376,1052,1
841467,137,1
841540,1229,0
842256,719,1
842582,326,1
842773,380,0
843103,212,0
843246,200,0
843427,902,0
843485,719,1
844403,851,0
844707,1046,1
845266,794,0
845831,1007,1
846173,1343,0
847122,1136,1
847500,596,0
847708,593,1
848006,290,1
848123,602,0
848569,566,1
848740,569,0
849291,704,1
849326,2600,0
850289,980,1
850881,416,1
851444,563,1
851961,740,0
852503,950,1
852806,584,0
853247,731,1
853760,479,0
854034,707,1
854236,1418,0
854626,497,1
855693,926,0
856097,1394,1
856656,455,0
857289,704,0
857687,1154,1
857994,251,1
858008,530,0
858206,215,1
858473,131,1
858612,2429,0
860458,1976,1
861044,206,0
861237,2534,0
861335,731,1
862391,920,1
863355,758,1
863991,2243,0
865624,1991,1
866285,797,0
866381,443,1
867082,890,0
867797,1388,1
867969,1982,0
869089,1277,1
869986,1280,0
870051,965,1
870582,509,1
871292,713,1
871491,1421,0
871941,677,1
872612,677,1
872994,344,0
873307,707,1
873385,623,0
873886,578,1
874046,800,0
874340,431,1
874758,101,1
874839,698,0
875621,1517,0
875731,1019,1
876944,1163,1
877162,188,0
877268,1424,0
878238,1079,1
878847,1157,0
879456,860,1
880093,386,0
880230,635,1
880794,824,0
881063,740,1
881649,2672,0
882126,896,1
883601,1478,1
884383,794,0
884410,785,1
885177,221,0
885416,995,1
885545,725,0
886222,287,0
886528,851,0
887526,725,0
887553,2144,1
887677,131,1
888542,557,0
888650,893,1
889022,230,1
889191,1196,0
889737,659,1
890573,761,0
891224,1232,1
891347,857,0
891512,59,1
891832,229,1
892216,1352,0
892607,602,1
893182,329,1
893319,188,1
893598,2432,0
893928,578,1
895279,1325,1
896152,485,0
896454,1178,1
896641,1025,0
897679,1202,1
897771,455,0
898230,788,0
899018,1148,0
899220,1094,1
899633,389,1
900163,596,0
900796,3482,0
902625,2873,1
903635,743,1
904291,959,0
905131,1439,1
905349,2141,0
905481,311,1
906304,659,1
907480,980,1
907547,389,0
907989,266,1
